DATE,MPU4900131_20170712
1987-01-01,0.332
1988-01-01,0.327
1989-01-01,0.337
1990-01-01,0.33
1991-01-01,0.327
1992-01-01,0.324
1993-01-01,0.329
1994-01-01,0.336
1995-01-01,0.339
1996-01-01,0.339
1997-01-01,0.338
1998-01-01,0.325
1999-01-01,0.324
2000-01-01,0.314
2001-01-01,0.315
2002-01-01,0.324
2003-01-01,0.337
2004-01-01,0.347
2005-01-01,0.362
2006-01-01,0.362
2007-01-01,0.363
2008-01-01,0.365
2009-01-01,0.37
2010-01-01,0.383
2011-01-01,0.382
2012-01-01,0.379
2013-01-01,0.388
2014-01-01,0.383
2015-01-01,0.372
2016-01-01,.
