DATE,CPIAUCNS_NBD20120101
1913-01-01,4.3047
1914-01-01,4.36278
1915-01-01,4.4027
1916-01-01,4.74025
1917-01-01,5.58595
1918-01-01,6.55142
1919-01-01,7.54956
1920-01-01,8.72918
1921-01-01,7.7746
1922-01-01,7.29549
1923-01-01,7.42615
1924-01-01,7.45882
1925-01-01,7.6403
1926-01-01,7.70926
1927-01-01,7.56045
1928-01-01,7.47334
1929-01-01,7.47334
1930-01-01,7.27371
1931-01-01,6.62401
1932-01-01,5.94165
1933-01-01,5.63313
1934-01-01,5.82913
1935-01-01,5.97795
1936-01-01,6.03965
1937-01-01,6.26468
1938-01-01,6.13765
1939-01-01,6.0578
1940-01-01,6.10135
1941-01-01,6.4135
1942-01-01,7.11401
1943-01-01,7.53867
1944-01-01,7.66208
1945-01-01,7.8363
1946-01-01,8.50052
1947-01-01,9.72369
1948-01-01,10.47139
1949-01-01,10.36976
1950-01-01,10.48228
1951-01-01,11.30619
1952-01-01,11.5639
1953-01-01,11.65826
1954-01-01,11.69456
1955-01-01,11.66189
1956-01-01,11.83974
1957-01-01,12.23537
1958-01-01,12.56929
1959-01-01,12.69633
1960-01-01,12.88144
1961-01-01,13.01936
1962-01-01,13.17544
1963-01-01,13.33877
1964-01-01,13.50936
1965-01-01,13.72351
1966-01-01,14.13728
1967-01-01,14.52928
1968-01-01,15.14994
1969-01-01,15.97748
1970-01-01,16.91029
1971-01-01,17.63621
1972-01-01,18.21332
1973-01-01,19.33849
1974-01-01,21.47632
1975-01-01,23.43994
1976-01-01,24.78652
1977-01-01,26.39806
1978-01-01,28.41248
1979-01-01,31.61016
1980-01-01,35.89308
1981-01-01,39.60253
1982-01-01,42.03073
1983-01-01,43.38094
1984-01-01,45.24655
1985-01-01,46.85083
1986-01-01,47.74009
1987-01-01,49.48955
1988-01-01,51.50761
1989-01-01,53.99388
1990-01-01,56.90845
1991-01-01,59.3185
1992-01-01,61.11515
1993-01-01,62.91906
1994-01-01,64.55964
1995-01-01,66.37081
1996-01-01,68.31627
1997-01-01,69.91329
1998-01-01,70.99854
1999-01-01,72.55201
2000-01-01,75.00199
2001-01-01,77.12167
2002-01-01,78.34485
2003-01-01,80.12335
2004-01-01,82.26844
2005-01-01,85.0596
2006-01-01,87.80357
2007-01-01,90.30832
2008-01-01,93.77535
2009-01-01,93.44194
2010-01-01,94.97442
2011-01-01,97.97262
2012-01-01,100
2013-01-01,101.46483
2014-01-01,103.11082
2015-01-01,103.23314
2016-01-01,104.53551
2017-01-01,106.76223
2018-01-01,109.36999
2019-01-01,.
