DATE,HCOMPBS
1947-01-01,3.6045
1948-01-01,3.9125
1949-01-01,3.966
1950-01-01,4.2445
1951-01-01,4.6505
1952-01-01,4.937
1953-01-01,5.251
1954-01-01,5.42075
1955-01-01,5.556
1956-01-01,5.92275
1957-01-01,6.3085
1958-01-01,6.58725
1959-01-01,6.855
1960-01-01,7.1425
1961-01-01,7.41875
1962-01-01,7.74625
1963-01-01,8.02175
1964-01-01,8.3175
1965-01-01,8.628
1966-01-01,9.20875
1967-01-01,9.73175
1968-01-01,10.49025
1969-01-01,11.229
1970-01-01,12.07
1971-01-01,12.796
1972-01-01,13.60675
1973-01-01,14.68225
1974-01-01,16.06125
1975-01-01,17.77325
1976-01-01,19.19175
1977-01-01,20.72325
1978-01-01,22.4645
1979-01-01,24.66075
1980-01-01,27.31625
1981-01-01,29.8875
1982-01-01,32.123
1983-01-01,33.52575
1984-01-01,35.007
1985-01-01,36.80475
1986-01-01,38.8885
1987-01-01,40.35175
1988-01-01,42.48875
1989-01-01,43.7775
1990-01-01,46.529
1991-01-01,48.68775
1992-01-01,51.67225
1993-01-01,52.43
1994-01-01,52.8115
1995-01-01,54.09425
1996-01-01,56.02775
1997-01-01,58.27825
1998-01-01,61.72275
1999-01-01,64.71375
2000-01-01,69.20775
2001-01-01,72.3875
2002-01-01,73.9945
2003-01-01,76.7945
2004-01-01,80.364
2005-01-01,83.2785
2006-01-01,86.49275
2007-01-01,90.36025
2008-01-01,92.8055
2009-01-01,93.61175
2010-01-01,95.27475
2011-01-01,97.31125
2012-01-01,99.9965
2013-01-01,101.46625
2014-01-01,104.1425
2015-01-01,107.09975
2016-01-01,108.25825
2017-01-01,111.93425
2018-01-01,115.0875
