DATE,MPU4900141_20170712
1987-01-01,0.668
1988-01-01,0.673
1989-01-01,0.663
1990-01-01,0.67
1991-01-01,0.673
1992-01-01,0.676
1993-01-01,0.671
1994-01-01,0.664
1995-01-01,0.661
1996-01-01,0.661
1997-01-01,0.662
1998-01-01,0.675
1999-01-01,0.676
2000-01-01,0.686
2001-01-01,0.685
2002-01-01,0.676
2003-01-01,0.663
2004-01-01,0.653
2005-01-01,0.638
2006-01-01,0.638
2007-01-01,0.637
2008-01-01,0.635
2009-01-01,0.63
2010-01-01,0.617
2011-01-01,0.618
2012-01-01,0.621
2013-01-01,0.612
2014-01-01,0.617
2015-01-01,0.628
2016-01-01,.
