DATE,MPU4910121_20180628
1987-01-01,2268.61
1988-01-01,2461.27
1989-01-01,2613.91
1990-01-01,2767.44
1991-01-01,2821.39
1992-01-01,2997.46
1993-01-01,3137.31
1994-01-01,3304.51
1995-01-01,3463.51
1996-01-01,3686.7
1997-01-01,3955.87
1998-01-01,4260.51
1999-01-01,4526.27
2000-01-01,4890.02
2001-01-01,5025.31
2002-01-01,5059.21
2003-01-01,5189.01
2004-01-01,5491.03
2005-01-01,5757.68
2006-01-01,6120.56
2007-01-01,6388.41
2008-01-01,6385.47
2009-01-01,6102.89
2010-01-01,6221.48
2011-01-01,6496.55
2012-01-01,6828.26
2013-01-01,7002.44
2014-01-01,7364.09
2015-01-01,7780.67
2016-01-01,8003.42
