DATE,MPU4910101_20180628
1987-01-01,3618.3
1988-01-01,3895.72
1989-01-01,4184.09
1990-01-01,4393.14
1991-01-01,4496.2
1992-01-01,4754.01
1993-01-01,5018.53
1994-01-01,5348.68
1995-01-01,5632.02
1996-01-01,5969.35
1997-01-01,6386.92
1998-01-01,6765.51
1999-01-01,7210.17
2000-01-01,7677.23
2001-01-01,7866.07
2002-01-01,8068.3
2003-01-01,8430.82
2004-01-01,8998.19
2005-01-01,9662.24
2006-01-01,10256.68
2007-01-01,10709.23
2008-01-01,10734.58
2009-01-01,10329.57
2010-01-01,10767.99
2011-01-01,11207.83
2012-01-01,11776.68
2013-01-01,12197.26
2014-01-01,12817.34
2015-01-01,13369.8
2016-01-01,13733.45
